832:	2015 2934 
833:	1598 2624 
834:	1598 2934 
835:	1598 2306 
836:	533 
837:	533 797 
838:	907 
839:	958 1230 
840:	907 1230 
841:	2709 
842:	1720 2709 
843:	533 1720 
844:	907 2709 
845:	787 1230 
846:	787 2636 
847:	787 1720 
848:	2000 
849:	2004 2635 
850:	2000 2004 
851:	1337 
852:	1634 3227 
853:	1337 1634 
854:	41 
855:	41 1337 
856:	41 58 
857:	58 2000 
858:	555 1634 
859:	555 2004 
860:	58 555 
861:	3342 
862:	3266 3342 
863:	788 3266 
864:	1817 
865:	1817 3262 
866:	3258 3262 
867:	2044 
868:	2044 3342 
869:	1817 2044 
870:	3262 3266 
871:	1253 
872:	693 1253 
873:	102 
874:	985 3197 
875:	102 3197 
876:	2287 
877:	1253 2287 
878:	102 2287 
879:	2029 3197 
880:	1751 
881:	899 2041 
882:	1751 2041 
883:	2272 
884:	637 739 
885:	739 2272 
886:	760 
887:	760 1751 
888:	760 2272 
889:	1892 3409 
890:	739 3409 
891:	2041 3409 
892:	2576 
893:	1243 3591 
894:	2576 3591 
895:	1307 
896:	578 3742 
897:	578 1307 
898:	3286 
899:	2576 3286 
900:	200 3286 
901:	200 1307 
902:	512 3591 
903:	512 578 
904:	200 512 
905:	550 
906:	669 2577 
907:	550 669 
908:	1776 
909:	728 1605 
910:	728 1776 
911:	770 
912:	558 770 
913:	558 1776 
914:	550 770 
915:	669 2975 
916:	690 2975 
917:	2975 3666 
918:	558 3666 
919:	728 3666 
920:	1440 
921:	2476 3310 
922:	1440 3310 
923:	1122 
924:	481 1122 
925:	552 
926:	552 1122 
927:	1440 2930 
928:	552 2930 
929:	1011 3310 
930:	1011 1056 
931:	1011 2930 
932:	1156 
933:	1133 1701 
934:	1133 1156 
935:	2642 
936:	1850 2642 
937:	2642 3267 
938:	1156 3267 
939:	537 648 
940:	537 2017 
941:	537 858 
942:	858 3267 
943:	858 1133 
944:	3638 
945:	2589 3330 
946:	3330 3638 
947:	3644 
948:	1051 3644 
949:	3638 3644 
950:	2220 3330 
951:	3601 
952:	525 1346 
953:	525 3601 
954:	687 
955:	687 3601 
956:	687 1156 
957:	525 1133 
958:	2304 
959:	2016 2304 
960:	2016 2079 
961:	2314 
962:	1394 3538 
963:	659 2314 
964:	659 3538 
965:	2304 2314 
966:	3538 3670 
967:	659 2016 
968:	1982 
969:	792 1982 
970:	1782 
971:	1780 1982 
972:	1780 1782 
973:	1599 3638 
974:	1599 1782 
975:	832 3330 
976:	1635 1785 
977:	832 1785 
978:	832 1599 
979:	1780 1785 
980:	2766 
