798:	72 160 
799:	579 
800:	113 160 
801:	114 579 
802:	135 523 
803:	160 581 
804:	72 579 
805:	113 523 
806:	523 
807:	51 152 
808:	471 
809:	141 588 
810:	73 471 
811:	471 
812:	115 152 
813:	141 523 
814:	114 471 
815:	152 588 
816:	115 523 
817:	51 471 
818:	551 
819:	54 551 
820:	154 540 
821:	551 
822:	75 147 
823:	551 
824:	118 154 
825:	94 147 
826:	75 94 
827:	537 
828:	74 148 
829:	537 
830:	104 154 
831:	148 551 
832:	93 537 
833:	74 551 
834:	154 540 
835:	93 537 
836:	593 
837:	76 137 
838:	592 
839:	55 592 
840:	138 539 
841:	592 
842:	138 593 
843:	116 592 
844:	118 137 
845:	118 593 
846:	76 592 
847:	137 539 
848:	593 
849:	56 593 
850:	161 541 
851:	559 
852:	77 559 
853:	142 541 
854:	559 
855:	119 161 
856:	142 593 
857:	116 559 
858:	119 593 
859:	116 559 
860:	161 541 
861:	560 
862:	136 561 
863:	57 560 
864:	560 
865:	162 561 
866:	78 560 
867:	560 
868:	119 162 
869:	120 136 
870:	119 120 
871:	562 
872:	58 143 
873:	562 
874:	79 562 
875:	163 543 
876:	562 
877:	120 163 
878:	121 143 
879:	58 121 
880:	894 
881:	59 894 
882:	144 543 
883:	894 
884:	80 894 
885:	164 542 
886:	894 
887:	121 164 
888:	122 144 
889:	59 894 
890:	122 543 
891:	121 542 
892:	549 
893:	60 549 
894:	145 548 
895:	554 
896:	81 554 
897:	165 548 
898:	549 
899:	122 165 
900:	145 554 
901:	123 549 
902:	122 554 
903:	123 549 
904:	165 548 
905:	554 
906:	61 554 
907:	146 535 
908:	564 
909:	82 564 
910:	129 557 
911:	554 
912:	146 564 
913:	124 554 
914:	123 129 
915:	123 557 
916:	82 554 
917:	535 564 
918:	129 557 
919:	124 554 
920:	564 
921:	62 564 
922:	155 557 
923:	595 
924:	83 153 
925:	595 
926:	125 155 
927:	124 595 
928:	153 564 
929:	124 595 
930:	62 564 
931:	155 557 
932:	573 
933:	65 573 
934:	167 568 
935:	505 
936:	85 167 
937:	151 573 
938:	105 505 
939:	85 568 
940:	65 505 
941:	503 573 
942:	167 568 
943:	105 505 
944:	537 
945:	53 537 
946:	150 529 
947:	537 
948:	94 150 
949:	107 148 
950:	74 107 
951:	573 
952:	43 573 
953:	126 568 
954:	573 
955:	117 167 
956:	103 126 
957:	103 117 
958:	501 
959:	166 589 
960:	52 501 
961:	501 
962:	84 589 
963:	166 589 
964:	497 501 
965:	115 149 
966:	42 149 
967:	115 149 
968:	595 
